Scam Type,Scam Type.1,Threat Type,Medium Used,Target Actions,Common Phrases/Examples,Unnamed: 6
Phishing Scams,Exploits online relationships to demand money or gifts.,Emotional,Dating Apps,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Romance Scams,Asks for donations to fake causes or charities.,Legal,SMS,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Phishing Scams,Asks for donations to fake causes or charities.,Legal,Dating Apps,Provide personal information,Confirm your account details to avoid suspension.,
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Financial,SMS,Claim prize by paying fee,Invest now and double your money.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Dating Apps,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Tech Support Scams,Threatens to release personal data unless ransom is paid.,Emotional,Dating Apps,Claim prize by paying fee,I need money for an emergency.,
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Financial/Emotional,Phone,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Emotional,Social Media,Donate to fake charity,I need money for an emergency.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Email,Send money or gifts,This is a charity drive. Donate now.,
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Legal,SMS,Provide personal information,This is a charity drive. Donate now.,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Legal,Social Media,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Legal,Email,Pay fine to avoid arrest,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Email,Pay ransom,"Help me, I'm in trouble.",
Phishing Scams,Falsely claims unpaid debt and demands immediate payment.,Financial,Email,Claim prize by paying fee,"Help me, I'm in trouble.",
Lottery Scams,Impersonates police or government to claim unpaid fines.,Emotional,Email,Provide personal information,Invest now and double your money.,
Investment Scams,Tricks victims into providing sensitive information.,Personal,Pop-ups,Send money or gifts,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Email,Pay for fake services,You owe $500. Pay immediately.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Personal,Email,Pay fine to avoid arrest,I need money for an emergency.,
Charity Scams,Tricks victims into providing sensitive information.,Financial/Personal,Phone,Claim prize by paying fee,You owe $500. Pay immediately.,
Romance Scams,Pretends to be someone else to steal personal or financial information.,Legal,Email,Send money or gifts,Confirm your account details to avoid suspension.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Emotional,SMS,Claim prize by paying fee,Invest now and double your money.,
Fake Law Enforcement Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Social Media,Pay ransom,"Help me, I'm in trouble.",
Extortion Scams,Asks for donations to fake causes or charities.,Financial,Pop-ups,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Phone,Pay ransom,We are the IRS. Pay to avoid legal action.,
Charity Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Emotional,Social Media,Invest in fake opportunity,Invest now and double your money.,
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Financial,Social Media,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Tricks victims into providing sensitive information.,Financial,Social Media,Pay fine to avoid arrest,I need money for an emergency.,
Extortion Scams,Promotes fake investment opportunities to steal money.,Legal,Email,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Asks for donations to fake causes or charities.,Financial/Personal,Email,Pay ransom,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Tricks victims into providing sensitive information.,Legal,Pop-ups,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Romance Scams,Impersonates police or government to claim unpaid fines.,Emotional,Pop-ups,Claim prize by paying fee,Invest now and double your money.,
Extortion Scams,Impersonates police or government to claim unpaid fines.,Personal,SMS,Pay fine to avoid arrest,You owe $500. Pay immediately.,
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Email,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Legal,SMS,Claim prize by paying fee,Your account is compromised. Act now!,
Lottery Scams,Exploits online relationships to demand money or gifts.,Emotional,Pop-ups,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,Social Media,Donate to fake charity,Your device is infected. Call us to fix it.,
Impersonation Scams,Promotes fake investment opportunities to steal money.,Emotional,SMS,Invest in fake opportunity,You owe $500. Pay immediately.,
Lottery Scams,Tricks victims into providing sensitive information.,Financial/Personal,Dating Apps,Provide personal information,Your device is infected. Call us to fix it.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Email,Make payment to avoid legal trouble,I need money for an emergency.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Financial,Email,Provide personal information,"Help me, I'm in trouble.",
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Dating Apps,Pay fine to avoid arrest,We are the IRS. Pay to avoid legal action.,
Tech Support Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Dating Apps,Send money or gifts,I need money for an emergency.,
Debt Collection Scams,Tricks victims into providing sensitive information.,Emotional,Pop-ups,Make payment to avoid legal trouble,I need money for an emergency.,
Investment Scams,Exploits online relationships to demand money or gifts.,Legal,Email,Invest in fake opportunity,Invest now and double your money.,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Personal,Social Media,Send money or gifts,Your device is infected. Call us to fix it.,
Debt Collection Scams,Asks for donations to fake causes or charities.,Personal,Social Media,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Claims the victim's device is infected with malware and demands payment.,Legal,Pop-ups,Pay fine to avoid arrest,Invest now and double your money.,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Dating Apps,Donate to fake charity,"Help me, I'm in trouble.",
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,Email,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Financial,Phone,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Impersonates police or government to claim unpaid fines.,Legal,Pop-ups,Pay fine to avoid arrest,Your account is compromised. Act now!,
Investment Scams,Promotes fake investment opportunities to steal money.,Financial/Emotional,Pop-ups,Provide personal information,I need money for an emergency.,
Investment Scams,Exploits online relationships to demand money or gifts.,Personal,Email,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Tricks victims into providing sensitive information.,Financial,Pop-ups,Pay fine to avoid arrest,Confirm your account details to avoid suspension.,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Financial,Dating Apps,Pay ransom,We are the IRS. Pay to avoid legal action.,
Investment Scams,Exploits online relationships to demand money or gifts.,Emotional,Social Media,Provide personal information,Your device is infected. Call us to fix it.,
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Social Media,Pay fine to avoid arrest,Your account is compromised. Act now!,
Phishing Scams,Asks for donations to fake causes or charities.,Personal,Pop-ups,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,SMS,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Charity Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,Phone,Invest in fake opportunity,Your account is compromised. Act now!,
Lottery Scams,Promotes fake investment opportunities to steal money.,Legal,Pop-ups,Claim prize by paying fee,Your device is infected. Call us to fix it.,
Romance Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Social Media,Pay ransom,You owe $500. Pay immediately.,
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Legal,Pop-ups,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Email,Pay for fake services,Confirm your account details to avoid suspension.,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Email,Invest in fake opportunity,"Help me, I'm in trouble.",
Romance Scams,Threatens to release personal data unless ransom is paid.,Emotional,Pop-ups,Send money or gifts,Invest now and double your money.,
Romance Scams,Impersonates police or government to claim unpaid fines.,Personal,Pop-ups,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Investment Scams,Asks for donations to fake causes or charities.,Legal,Phone,Claim prize by paying fee,I need money for an emergency.,
Investment Scams,Tricks victims into providing sensitive information.,Financial/Personal,Email,Send money or gifts,This is a charity drive. Donate now.,
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,Social Media,Pay fine to avoid arrest,Confirm your account details to avoid suspension.,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Legal,Phone,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Tricks victims into providing sensitive information.,Emotional,Dating Apps,Pay ransom,I need money for an emergency.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Email,Provide personal information,You owe $500. Pay immediately.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Social Media,Claim prize by paying fee,Your account is compromised. Act now!,
Debt Collection Scams,Claims the victim has won a prize and asks for payment to claim it.,Personal,Social Media,Pay fine to avoid arrest,We are the IRS. Pay to avoid legal action.,
Romance Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Phone,Send money or gifts,Invest now and double your money.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Social Media,Provide personal information,I need money for an emergency.,
Lottery Scams,Asks for donations to fake causes or charities.,Financial,Email,Provide personal information,"Help me, I'm in trouble.",
Charity Scams,Promotes fake investment opportunities to steal money.,Emotional,Dating Apps,Send money or gifts,"Help me, I'm in trouble.",
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Financial,Social Media,Send money or gifts,Invest now and double your money.,
Debt Collection Scams,Tricks victims into providing sensitive information.,Financial,Dating Apps,Provide personal information,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Asks for donations to fake causes or charities.,Financial,Dating Apps,Send money or gifts,You owe $500. Pay immediately.,
Investment Scams,Promotes fake investment opportunities to steal money.,Legal,Social Media,Donate to fake charity,I need money for an emergency.,
Impersonation Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,Pop-ups,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Extortion Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Phone,Invest in fake opportunity,Your account is compromised. Act now!,
Charity Scams,Tricks victims into providing sensitive information.,Legal,Pop-ups,Provide personal information,This is a charity drive. Donate now.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Social Media,Pay ransom,You owe $500. Pay immediately.,
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Dating Apps,Invest in fake opportunity,You owe $500. Pay immediately.,
Impersonation Scams,Tricks victims into providing sensitive information.,Emotional,Email,Pay for fake services,Confirm your account details to avoid suspension.,
Fake Law Enforcement Scams,Asks for donations to fake causes or charities.,Financial/Personal,Email,Claim prize by paying fee,Your device is infected. Call us to fix it.,
Romance Scams,Promotes fake investment opportunities to steal money.,Personal,Dating Apps,Pay for fake services,Your account is compromised. Act now!,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Personal,Dating Apps,Pay ransom,Your account is compromised. Act now!,
Phishing Scams,Asks for donations to fake causes or charities.,Personal,SMS,Pay ransom,Your device is infected. Call us to fix it.,
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Phone,Pay for fake services,Your device is infected. Call us to fix it.,
Phishing Scams,Promotes fake investment opportunities to steal money.,Financial,SMS,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Phone,Provide personal information,This is a charity drive. Donate now.,
Charity Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Social Media,Send money or gifts,Your device is infected. Call us to fix it.,
Phishing Scams,Tricks victims into providing sensitive information.,Personal,Pop-ups,Pay ransom,Confirm your account details to avoid suspension.,
Tech Support Scams,Tricks victims into providing sensitive information.,Personal,Phone,Send money or gifts,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,SMS,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Investment Scams,Promotes fake investment opportunities to steal money.,Personal,Pop-ups,Send money or gifts,"Help me, I'm in trouble.",
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Financial,SMS,Send money or gifts,I need money for an emergency.,
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Dating Apps,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Impersonates police or government to claim unpaid fines.,Legal,Pop-ups,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Personal,Dating Apps,Send money or gifts,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Phone,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Financial,SMS,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,Phone,Pay for fake services,"Help me, I'm in trouble.",
Extortion Scams,Asks for donations to fake causes or charities.,Financial,Social Media,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Romance Scams,Impersonates police or government to claim unpaid fines.,Emotional,SMS,Send money or gifts,We are the IRS. Pay to avoid legal action.,
Romance Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Social Media,Send money or gifts,"Help me, I'm in trouble.",
Tech Support Scams,Asks for donations to fake causes or charities.,Financial/Personal,Social Media,Send money or gifts,"Help me, I'm in trouble.",
Phishing Scams,Promotes fake investment opportunities to steal money.,Personal,Email,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Debt Collection Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Social Media,Pay for fake services,Confirm your account details to avoid suspension.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Personal,Email,Pay for fake services,This is a charity drive. Donate now.,
Tech Support Scams,Tricks victims into providing sensitive information.,Personal,Dating Apps,Pay for fake services,You owe $500. Pay immediately.,
Extortion Scams,Asks for donations to fake causes or charities.,Financial/Emotional,SMS,Send money or gifts,Your account is compromised. Act now!,
Lottery Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,Social Media,Claim prize by paying fee,Confirm your account details to avoid suspension.,
Fake Law Enforcement Scams,Impersonates police or government to claim unpaid fines.,Financial,Social Media,Make payment to avoid legal trouble,Invest now and double your money.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Social Media,Pay for fake services,"Help me, I'm in trouble.",
Charity Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Pop-ups,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Debt Collection Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Email,Donate to fake charity,You owe $500. Pay immediately.,
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Emotional,Pop-ups,Donate to fake charity,I need money for an emergency.,
Romance Scams,Tricks victims into providing sensitive information.,Financial/Personal,Social Media,Pay fine to avoid arrest,Your account is compromised. Act now!,
Romance Scams,Promotes fake investment opportunities to steal money.,Legal,SMS,Donate to fake charity,"Help me, I'm in trouble.",
Phishing Scams,Asks for donations to fake causes or charities.,Legal,SMS,Provide personal information,I need money for an emergency.,
Romance Scams,Impersonates police or government to claim unpaid fines.,Financial/Emotional,Dating Apps,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Tricks victims into providing sensitive information.,Legal,Social Media,Claim prize by paying fee,Invest now and double your money.,
Lottery Scams,Tricks victims into providing sensitive information.,Emotional,Phone,Send money or gifts,This is a charity drive. Donate now.,
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Email,Invest in fake opportunity,You owe $500. Pay immediately.,
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Financial,Dating Apps,Pay for fake services,Invest now and double your money.,
Phishing Scams,Asks for donations to fake causes or charities.,Financial/Personal,SMS,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Tricks victims into providing sensitive information.,Personal,Pop-ups,Pay fine to avoid arrest,You owe $500. Pay immediately.,
Investment Scams,Falsely claims unpaid debt and demands immediate payment.,Financial,Phone,Send money or gifts,Invest now and double your money.,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Social Media,Donate to fake charity,This is a charity drive. Donate now.,
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Social Media,Pay for fake services,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Phone,Provide personal information,Your device is infected. Call us to fix it.,
Investment Scams,Impersonates police or government to claim unpaid fines.,Emotional,Pop-ups,Provide personal information,Invest now and double your money.,
Extortion Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,SMS,Send money or gifts,Invest now and double your money.,
Impersonation Scams,Asks for donations to fake causes or charities.,Personal,Social Media,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Personal,Phone,Provide personal information,Your device is infected. Call us to fix it.,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Social Media,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,SMS,Pay for fake services,Your device is infected. Call us to fix it.,
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Phone,Pay ransom,We are the IRS. Pay to avoid legal action.,
Romance Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Emotional,Phone,Provide personal information,I need money for an emergency.,
Lottery Scams,Asks for donations to fake causes or charities.,Financial,Social Media,Pay fine to avoid arrest,Your account is compromised. Act now!,
Lottery Scams,Promotes fake investment opportunities to steal money.,Personal,Pop-ups,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Personal,Pop-ups,Pay fine to avoid arrest,Confirm your account details to avoid suspension.,
Charity Scams,Impersonates police or government to claim unpaid fines.,Financial/Emotional,Social Media,Provide personal information,You owe $500. Pay immediately.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Pop-ups,Claim prize by paying fee,I need money for an emergency.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Financial,Dating Apps,Provide personal information,Invest now and double your money.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,Pop-ups,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Exploits online relationships to demand money or gifts.,Financial,Email,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Lottery Scams,Asks for donations to fake causes or charities.,Financial/Personal,SMS,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Investment Scams,Promotes fake investment opportunities to steal money.,Legal,Phone,Donate to fake charity,I need money for an emergency.,
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Legal,Phone,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Dating Apps,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Lottery Scams,Asks for donations to fake causes or charities.,Financial/Personal,Email,Send money or gifts,Invest now and double your money.,
Romance Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Pop-ups,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Dating Apps,Claim prize by paying fee,"Help me, I'm in trouble.",
Investment Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Phone,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Extortion Scams,Impersonates police or government to claim unpaid fines.,Personal,Phone,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Pop-ups,Pay fine to avoid arrest,"Help me, I'm in trouble.",
Debt Collection Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Pop-ups,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Impersonates police or government to claim unpaid fines.,Legal,Phone,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Investment Scams,Tricks victims into providing sensitive information.,Financial/Emotional,SMS,Send money or gifts,This is a charity drive. Donate now.,
Phishing Scams,Asks for donations to fake causes or charities.,Financial/Emotional,SMS,Donate to fake charity,This is a charity drive. Donate now.,
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Email,Pay ransom,I need money for an emergency.,
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Emotional,Email,Make payment to avoid legal trouble,Confirm your account details to avoid suspension.,
Charity Scams,Exploits online relationships to demand money or gifts.,Financial,SMS,Invest in fake opportunity,Your account is compromised. Act now!,
Phishing Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Pop-ups,Donate to fake charity,I need money for an emergency.,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Financial,Phone,Pay ransom,Confirm your account details to avoid suspension.,
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Email,Invest in fake opportunity,Invest now and double your money.,
Charity Scams,Threatens to release personal data unless ransom is paid.,Personal,Dating Apps,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Charity Scams,Exploits online relationships to demand money or gifts.,Personal,Dating Apps,Claim prize by paying fee,"Help me, I'm in trouble.",
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Financial/Personal,Phone,Donate to fake charity,You owe $500. Pay immediately.,
Fake Law Enforcement Scams,Asks for donations to fake causes or charities.,Emotional,Social Media,Pay for fake services,You owe $500. Pay immediately.,
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Emotional,SMS,Pay fine to avoid arrest,This is a charity drive. Donate now.,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Pop-ups,Pay for fake services,"Help me, I'm in trouble.",
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,SMS,Claim prize by paying fee,Confirm your account details to avoid suspension.,
Impersonation Scams,Asks for donations to fake causes or charities.,Financial,Phone,Make payment to avoid legal trouble,I need money for an emergency.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Pop-ups,Pay ransom,Confirm your account details to avoid suspension.,
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Pop-ups,Pay fine to avoid arrest,Invest now and double your money.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Dating Apps,Claim prize by paying fee,Invest now and double your money.,
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Legal,Phone,Provide personal information,You owe $500. Pay immediately.,
Extortion Scams,Impersonates police or government to claim unpaid fines.,Emotional,SMS,Claim prize by paying fee,Confirm your account details to avoid suspension.,
Investment Scams,Tricks victims into providing sensitive information.,Personal,Phone,Claim prize by paying fee,"Help me, I'm in trouble.",
Charity Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,SMS,Pay ransom,Confirm your account details to avoid suspension.,
Lottery Scams,Promotes fake investment opportunities to steal money.,Emotional,Email,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Provide personal information,Your account is compromised. Act now!,
Charity Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Dating Apps,Send money or gifts,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Financial,Phone,Pay for fake services,Your account is compromised. Act now!,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Dating Apps,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Phone,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Romance Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Pay ransom,You owe $500. Pay immediately.,
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Social Media,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Dating Apps,Provide personal information,"Help me, I'm in trouble.",
Charity Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,Phone,Pay for fake services,You owe $500. Pay immediately.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Emotional,Phone,Provide personal information,We are the IRS. Pay to avoid legal action.,
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,SMS,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Debt Collection Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,SMS,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Dating Apps,Send money or gifts,Your account is compromised. Act now!,
Tech Support Scams,Tricks victims into providing sensitive information.,Financial,SMS,Invest in fake opportunity,Your account is compromised. Act now!,
Tech Support Scams,Asks for donations to fake causes or charities.,Personal,Phone,Provide personal information,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Financial,Dating Apps,Provide personal information,Confirm your account details to avoid suspension.,
Extortion Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,Social Media,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Pay fine to avoid arrest,Invest now and double your money.,
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Legal,SMS,Send money or gifts,You owe $500. Pay immediately.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,SMS,Pay ransom,This is a charity drive. Donate now.,
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Pop-ups,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Investment Scams,Exploits online relationships to demand money or gifts.,Financial,Phone,Pay for fake services,Confirm your account details to avoid suspension.,
Tech Support Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Phone,Pay ransom,We are the IRS. Pay to avoid legal action.,
Debt Collection Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Phone,Provide personal information,We are the IRS. Pay to avoid legal action.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Financial,Phone,Pay ransom,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Asks for donations to fake causes or charities.,Emotional,Dating Apps,Send money or gifts,Confirm your account details to avoid suspension.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Emotional,Phone,Pay ransom,Confirm your account details to avoid suspension.,
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Pop-ups,Invest in fake opportunity,Your account is compromised. Act now!,
Extortion Scams,Exploits online relationships to demand money or gifts.,Legal,Pop-ups,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Impersonates police or government to claim unpaid fines.,Personal,Social Media,Pay for fake services,This is a charity drive. Donate now.,
